source	target	weight
3	235	1
7	2769	2
12	2857	1
12	4138	1
14	53	1
17	3874	2
22	680	1
22	2858	1
24	6223	1
29	3221	1
29	6282	1
34	3738	1
34	5243	1
38	5586	1
41	768	1
44	3801	1
55	5830	1
65	753	1
65	2570	1
65	4359	1
65	5325	1
65	5670	1
67	2082	1
67	2221	1
67	3919	1
67	5717	1
69	5107	1
69	6717	1
70	1845	1
70	1917	1
70	3153	1
71	3634	1
71	5614	1
76	5219	1
82	6207	1
83	5385	1
83	5726	1
84	4851	1
86	2459	1
87	823	1
87	2190	1
87	5298	1
88	1718	1
92	1462	1
99	2776	1
99	6437	2
100	6730	1
111	5491	1
114	4237	1
114	6530	1
115	4606	1
117	1992	1
117	2385	1
117	2844	1
117	4600	1
117	5074	1
117	5677	1
119	431	1
119	2223	1
136	653	1
136	3901	2
136	4742	2
136	4826	1
136	5752	1
136	6631	1
139	5714	4
144	753	1
144	2533	1
144	3478	1
144	3688	1
144	3886	1
145	1346	1
149	2761	1
151	6681	1
155	1931	1
159	5498	1
165	634	1
166	4905	1
169	5392	3
173	1951	3
174	1721	1
177	3130	1
184	2701	1
198	313	1
198	4799	1
200	1372	1
201	6401	1
204	4136	1
204	6549	1
210	2102	1
212	219	1
212	577	1
212	1620	1
212	5450	1
212	6336	1
215	5363	3
215	6262	2
218	3915	1
220	1510	1
220	3580	1
221	5615	1
225	686	1
225	4020	1
225	4241	1
228	1056	1
228	5529	1
228	6360	1
229	4007	1
229	5438	1
230	365	1
234	368	1
234	898	1
234	3895	1
234	5276	1
234	5550	1
237	3291	1
237	6678	1
238	1383	1
244	2420	1
245	3627	1
246	5392	1
248	4851	1
248	5721	1
254	5598	1
258	5943	1
261	324	1
264	1258	1
266	6629	1
271	325	1
271	2079	1
271	6604	1
276	4054	2
276	6357	1
279	4986	1
282	997	1
282	1236	1
291	2247	2
291	2363	1
299	1005	1
305	1177	1
305	5821	1
306	3612	1
312	1322	1
313	718	1
313	4543	1
317	2851	1
318	1264	1
319	653	1
319	4078	1
319	5325	1
320	3177	1
323	1082	3
323	2312	1
324	564	1
325	3492	1
325	5620	1
332	4949	1
334	3725	1
349	3108	1
351	1098	1
351	1600	1
353	566	2
355	3685	1
360	577	1
360	3412	1
361	2841	1
362	659	1
364	4595	1
368	1780	1
368	2859	1
370	1084	1
372	2379	1
377	2557	1
377	5518	1
383	715	1
388	5247	1
388	5748	1
399	3275	1
399	6305	1
400	3652	1
407	5450	1
408	4034	1
409	1238	1
409	6290	1
409	6627	2
415	4593	1
419	6104	1
422	3537	1
424	2101	1
426	1251	1
426	2826	1
427	1829	1
431	4665	1
431	5634	1
432	3267	1
434	3061	1
435	2435	1
